PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39166637","Effects of aerobic exercise on components of the metabolic syndrome in older adults with type 2 diabetes mellitus: systematic review and meta-analysis","Miranda-Tueros M, Ramirez-Peña J, Cabanillas-Lazo M, Paz-Ibarra JL, Pinedo-Torres I.","Rev Peru Med Exp Salud Publica. 2024 Aug 19;41(2):146-155. doi: 10.17843/rpmesp.2024.412.12751.","Miranda-Tueros M","Rev Peru Med Exp Salud Publica","2024","2024/08/21","PMC11300696","","10.17843/rpmesp.2024.412.12751"
"38577191","From liver to hormones: The endocrine consequences of cirrhosis","Quiroz-Aldave JE, Gamarra-Osorio ER, Durand-Vásquez MDC, Rafael-Robles LDP, Gonzáles-Yovera JG, Quispe-Flores MA, Concepción-Urteaga LA, Román-González A, Paz-Ibarra J, Concepción-Zavaleta MJ.","World J Gastroenterol. 2024 Mar 7;30(9):1073-1095. doi: 10.3748/wjg.v30.i9.1073.","Quiroz-Aldave JE","World J Gastroenterol","2024","2024/04/05","PMC10989500","","10.3748/wjg.v30.i9.1073"
"1804329","[Gastric cancer]","Espejo Romero H.","Rev Gastroenterol Peru. 1991;11(1):49-62.","Espejo Romero H","Rev Gastroenterol Peru","1991","1991/01/01","","",""
"41025003","Efficacy and safety of anti-obesity drugs in metabolic dysfunction-associated steatotic liver disease: An updated review","Concepción-Zavaleta MJ, Fuentes-Mendoza JM, Gonzáles-Yovera JG, Ruvalcaba-Barbosa GY, Cura-Rodríguez LD, González-Rodríguez JS, Concepción-Urteaga LA, Pérez-Reyes AI, Quiroz-Aldave JE, Paz-Ibarra J.","World J Gastroenterol. 2025 Oct 7;31(37):111435. doi: 10.3748/wjg.v31.i37.111435.","Concepción-Zavaleta MJ","World J Gastroenterol","2025","2025/09/30","PMC12476660","","10.3748/wjg.v31.i37.111435"
"38957951","EBV-positive diffuse large B-cell lymphoma, not otherwise specified: 2024 update on the diagnosis, risk-stratification, and management","Malpica L, Marques-Piubelli ML, Beltran BE, Chavez JC, Miranda RN, Castillo JJ.","Am J Hematol. 2024 Oct;99(10):2002-2015. doi: 10.1002/ajh.27430. Epub 2024 Jul 3.","Malpica L","Am J Hematol","2024","2024/07/03","","","10.1002/ajh.27430"
"32876231","Asma crítica asociada a aspergilosis broncopulmonar alérgica: reporte de un caso","Vences MA, Manrique Villegas C, Mogollon-Lavi J, Arias-Rojas T, Barriga Cari F.","Rev Peru Med Exp Salud Publica. 2020 Apr-Jun;37(2):367-370. doi: 10.17843/rpmesp.2020.372.4773. Epub 2020 Aug 28.","Vences MA","Rev Peru Med Exp Salud Publica","2020","2020/09/03","","","10.17843/rpmesp.2020.372.4773"
"38258451","Drug-induced hypothyroidism in tuberculosis","Quiroz-Aldave JE, Durand-Vásquez MDC, Gamarra-Osorio ER, Concepción-Urteaga LA, Pecho-Silva S, Rodríguez-Hidalgo LA, Concepción-Zavaleta MJ.","Expert Rev Endocrinol Metab. 2024 May;19(3):199-206. doi: 10.1080/17446651.2024.2307525. Epub 2024 Jan 23.","Quiroz-Aldave JE","Expert Rev Endocrinol Metab","2024","2024/01/23","","","10.1080/17446651.2024.2307525"
"22476120","[Choledocholithiasis in Edgardo Rebagliati Martins Hospital. Lima-Peru. 2010-2011. Incidence, risk factors, diagnostic and therapeutic aspects]","Llatas Pérez J, Hurtado Roca Y, Frisancho Velarde O.","Rev Gastroenterol Peru. 2011 Oct-Dec;31(4):324-9.","Llatas Pérez J","Rev Gastroenterol Peru","2011","2012/04/06","","",""
"40575339","Hepatocellular carcinoma in patients without cirrhosis","Sato-Espinoza K, Valdivia-Herrera M, Chotiprasidhi P, Diaz-Ferrer J.","World J Gastroenterol. 2025 Jun 21;31(23):107100. doi: 10.3748/wjg.v31.i23.107100.","Sato-Espinoza K","World J Gastroenterol","2025","2025/06/27","PMC12188760","","10.3748/wjg.v31.i23.107100"
"33148966","Diagnosis of primary immunodeficiencies in Peru","Aldave-Becerra JC, Veramendi-Espinoza LE, Rentería-Valdiviezo CA.","Curr Opin Pediatr. 2020 Dec;32(6):798-804. doi: 10.1097/MOP.0000000000000964.","Aldave-Becerra JC","Curr Opin Pediatr","2020","2020/11/05","","","10.1097/MOP.0000000000000964"
